spread_rank,canonical_id,identifier_type,hyg_id,hip,hd,hr,gl,bf,proper_name,display_type,spectral_type,distance_pc,distance_ly,apparent_magnitude,absolute_magnitude,luminosity_lsol,color_index,constellation_abbr,constellation_name,ra_hours,dec_degrees,x_pc,y_pc,z_pc,nearest_selected_neighbor_pc,nearest_selected_neighbor_ly,source_catalog,source_url
2702,HIP 60674,HIP,60486,60674,108197,,,,,Orange Giant,K1/K2III,854.7009,2787.658267,9.02,-0.639,156.891711,1.236,Cen,Centaurus,12.434632,-52.007469,-522.716375,-59.735962,-673.582092,70.933326,231.353299,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2703,HIP 60772,HIP,60584,60772,108423,,,,,White Star,A0,854.7009,2787.658267,9.2,-0.459,132.922959,0.432,Vir,Virgo,12.456919,7.383123,-841.557499,-101.151019,109.832038,64.988086,211.962541,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2704,HIP 67042,HIP,66830,67042,119109,,,,,Blue-White Main Sequence,B4V,552.4862,1801.96689,7.46,-1.252,275.930686,0.005,Mus,Musca,13.739397,-73.636826,-139.788101,-68.454081,-530.108339,49.299995,160.794891,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2705,HIP 62334,HIP,62139,62334,,,,,,Yellow Star,G0,746.2687,2434.000141,10.45,1.086,32.033176,0.721,Com,Coma Berenices,12.774054,21.573446,-679.789437,-139.674277,274.398232,74.141593,241.817253,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2706,HIP 61535,HIP,61342,61535,109657,,,,,Orange Giant,K2III,746.2687,2434.000141,9.09,-0.274,112.098551,1.371,Crv,Corvus,12.606882,-12.547743,-719.269464,-115.249936,-162.129156,48.819591,159.228027,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2707,HIP 60897,HIP,60709,60897,,,,,,Yellow Star,G5,892.8571,2912.107003,9.18,-0.574,147.774671,0.97,Com,Coma Berenices,12.480037,22.003375,-821.294344,-103.761708,334.518923,39.354232,128.356188,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2708,HIP 60914,HIP,60725,60914,108710,,,,,Orange Subgiant,K3IV,751.8797,2452.300754,8.24,-1.141,249.11507,1.461,CVn,Canes Venatici,12.484012,48.920028,-490.1078,-62.438288,566.761756,37.711386,122.997949,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2709,HIP 60924,HIP,60736,60924,108680,,,,,Red Giant,M4III,714.2857,2329.685668,6.86,-2.409,800.940031,1.63,Vir,Virgo,12.486025,-2.429564,-707.874044,-90.559949,-30.279403,36.964099,120.560628,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2710,HIP 60943,HIP,60754,60943,,,,,,Orange Star,K5,884.9558,2886.336439,9.25,-0.485,136.144468,1.38,Vir,Virgo,12.49118,11.138897,-861.115871,-111.345856,170.962936,64.988086,211.962541,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2711,HIP 61290,HIP,61097,61290,109282,,,,,Orange Main Sequence,K0V,862.069,2811.689768,7.24,-2.438,822.621394,1.65,Com,Coma Berenices,12.558935,24.448734,-776.382113,-114.424911,356.792123,51.253369,167.165938,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2712,HIP 61024,HIP,60835,61024,108822,,,,,Red Giant,M2III,869.5652,2836.139074,8.17,-1.527,355.467582,1.646,Hya,Hydra,12.506566,-27.08577,-767.398252,-102.372072,-395.933732,68.887912,224.68206,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2713,HIP 61047,HIP,60858,61047,108881,,,,,Orange Giant,K1III,900.9009,2938.342339,8.84,-0.933,205.683759,1.208,Crv,Corvus,12.51194,-16.956399,-854.007965,-115.149205,-262.742246,92.586766,301.977291,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2714,HIP 61131,HIP,60940,61131,233951,,,,,Orange Giant,K2III,952.381,3106.247774,10.82,0.926,37.119319,1.337,CVn,Canes Venatici,12.527302,49.575333,-611.694074,-84.983295,725.008806,78.872626,257.247804,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2715,HIP 62425,HIP,62230,62425,,,,,,Orange Giant,K2III,625.0,2038.475,9.02,0.041,83.868717,1.353,CVn,Canes Venatici,12.793261,32.843788,-513.812458,-108.26705,338.969031,49.724578,162.179696,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2716,HIP 62928,HIP,62731,62928,,,,,,Yellow-White Star,F5,564.9718,1842.689424,9.52,0.76,43.251383,0.339,Com,Coma Berenices,12.896129,20.650858,-514.188186,-122.894661,199.249959,58.870629,192.010087,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2717,HIP 63869,HIP,63666,63869,,,,,,Orange Star,K4,581.3953,1896.255655,10.26,1.438,23.163277,1.467,Vir,Virgo,13.090338,-21.043477,-520.663898,-152.796175,-208.765248,52.094828,169.910407,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2718,HIP 62727,HIP,62530,62727,111693,,,,,Orange Star,K0,552.4862,1801.96689,9.17,0.458,57.121552,0.992,Vir,Virgo,12.854013,-6.944976,-534.781915,-121.599616,-66.804478,62.732617,204.606195,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2719,HIP 62664,HIP,62468,62664,111593,,,,,Orange Star,K5,641.0256,2090.743456,8.88,-0.154,100.369093,1.522,Vir,Virgo,12.839964,-1.825045,-625.271618,-139.758519,-20.415166,58.164014,189.705422,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2720,HIP 62503,HIP,62308,62503,111336,,,,,Orange Star,K0,649.3506,2117.895943,8.32,-0.742,172.50433,1.02,Com,Coma Berenices,12.807898,17.579761,-605.229658,-129.954161,196.125417,67.546926,220.308353,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
2721,HIP 61473,HIP,61280,61473,,,,,,Yellow Star,G,632.9114,2064.278506,10.39,1.383,24.366884,1.363,Vir,Virgo,12.596542,9.074304,-617.38387,-97.211172,99.819762,64.598591,210.69218,HYG Stellar Database v4.1,https://raw.githubusercontent.com/astronexus/HYG-Database/main/hyg/CURRENT/hygdata_v41.csv
